CountryName,Web Index score,Universal Access,Education and awareness,Access and Affordability,Communications Infrastructure,Relevant Content,Web use,Content creation,Freedom and Openness,Freedom of the Web,Impact and Empowerment,Political impact,Social and environmental,Economic impact
Denmark,Z:0.92,Z:1.04,Z:1.0,Z:0.89,Z:1.23,Z:1.0,Z:1.19,Z:0.81,Z:0.8,Z:0.8,Z:0.85,Z:1.01,Z:0.68,Z:0.86
Ecuador,Z:-0.15,Z:-0.18,Z:-0.42,Z:0.05,Z:-0.17,Z:-0.02,Z:0.12,Z:-0.17,Z:-0.17,Z:-0.17,Z:-0.22,Z:-0.64,Z:0.2,Z:-0.21
Egypt,Z:-0.57,Z:-0.4,Z:-0.55,Z:-0.43,Z:-0.24,Z:-0.52,Z:-0.34,Z:-0.7,Z:-0.64,Z:-0.64,Z:-0.74,Z:-0.1,Z:-0.74,Z:-1.38
Estonia,Z:0.59,Z:0.57,Z:0.82,Z:0.55,Z:0.33,Z:0.4,Z:0.29,Z:0.51,Z:0.69,Z:0.69,Z:0.7,Z:0.95,Z:0.46,Z:0.68
Ethiopia,Z:-1.08,Z:-1.13,Z:-1.25,Z:-1.19,Z:-0.97,Z:-1.21,Z:-1.04,Z:-1.39,Z:-1.03,Z:-1.03,Z:-0.93,Z:-1.03,Z:-0.79,Z:-0.95
Finland,Z:0.91,Z:0.81,Z:0.85,Z:0.86,Z:0.72,Z:0.85,Z:0.86,Z:0.84,Z:1.06,Z:1.06,Z:0.92,Z:0.99,Z:0.49,Z:1.26
France,Z:0.89,Z:0.73,Z:0.91,Z:0.88,Z:0.4,Z:0.97,Z:0.63,Z:1.32,Z:0.86,Z:0.86,Z:0.99,Z:1.04,Z:1.13,Z:0.81
Germany,Z:0.72,Z:0.82,Z:0.89,Z:0.94,Z:0.62,Z:0.74,Z:0.54,Z:0.95,Z:0.54,Z:0.54,Z:0.77,Z:0.85,Z:0.29,Z:1.16
Ghana,Z:-0.4,Z:-0.59,Z:-0.67,Z:-0.66,Z:-0.46,Z:-0.62,Z:-0.51,Z:-0.73,Z:0.25,Z:0.25,Z:-0.63,Z:-0.52,Z:-0.65,Z:-0.71
Greece,Z:0.45,Z:0.31,Z:0.35,Z:0.37,Z:0.21,Z:0.6,Z:0.4,Z:0.81,Z:0.68,Z:0.68,Z:0.19,Z:0.56,Z:0.17,Z:-0.17
Hungary,Z:-0.1,Z:-0.25,Z:-0.88,Z:-0.06,Z:0.2,Z:-0.21,Z:-0.37,Z:-0.05,Z:0.21,Z:0.21,Z:-0.14,Z:0.16,Z:-0.38,Z:-0.2
Iceland,Z:0.91,Z:1.13,Z:1.21,Z:0.96,Z:1.21,Z:0.96,Z:1.38,Z:0.54,Z:0.99,Z:0.99,Z:0.56,Z:0.64,Z:0.41,Z:0.63
India,Z:-0.4,Z:-0.49,Z:-0.58,Z:-0.37,Z:-0.51,Z:-0.76,Z:-1.16,Z:-0.36,Z:-0.1,Z:-0.1,Z:-0.26,Z:-0.3,Z:-0.41,Z:-0.09
Indonesia,Z:-0.24,Z:-0.35,Z:-0.05,Z:-0.55,Z:-0.44,Z:-0.12,Z:0.04,Z:-0.29,Z:-0.11,Z:-0.11,Z:-0.38,Z:-0.49,Z:-0.17,Z:-0.48
Ireland,Z:0.56,Z:0.5,Z:0.62,Z:0.35,Z:0.54,Z:0.72,Z:0.98,Z:0.47,Z:0.65,Z:0.65,Z:0.36,Z:0.47,Z:0.21,Z:0.41
Israel,Z:0.48,Z:0.49,Z:0.68,Z:0.37,Z:0.43,Z:0.69,Z:0.48,Z:0.91,Z:0.36,Z:0.36,Z:0.36,Z:0.61,Z:0.26,Z:0.22
Italy,Z:0.52,Z:0.6,Z:0.71,Z:0.7,Z:0.38,Z:0.49,Z:0.48,Z:0.5,Z:0.53,Z:0.53,Z:0.46,Z:0.37,Z:0.6,Z:0.41
Jamaica,Z:-0.23,Z:-0.32,Z:-0.26,Z:-0.14,Z:-0.57,Z:-0.17,Z:-0.37,Z:0.03,Z:0.03,Z:0.03,Z:-0.47,Z:-0.41,Z:-0.68,Z:-0.32
Japan,Z:0.79,Z:0.76,Z:0.42,Z:0.91,Z:0.96,Z:0.82,Z:0.81,Z:0.82,Z:0.65,Z:0.65,Z:0.92,Z:0.78,Z:1.26,Z:0.73
Jordan,Z:-0.52,Z:-0.07,Z:-0.02,Z:-0.21,Z:0.04,Z:-0.32,Z:-0.01,Z:-0.64,Z:-1.05,Z:-1.05,Z:-0.63,Z:-0.41,Z:-0.88,Z:-0.6
Kazakhstan,Z:-0.27,Z:-0.09,Z:-0.09,Z:0.05,Z:-0.24,Z:0.21,Z:0.18,Z:0.24,Z:-1.09,Z:-1.09,Z:-0.1,Z:-0.35,Z:0.27,Z:-0.22
Kenya,Z:-0.3,Z:-0.51,Z:-0.22,Z:-0.51,Z:-0.8,Z:-0.35,Z:-0.44,Z:-0.26,Z:-0.35,Z:-0.35,Z:-0.01,Z:-0.29,Z:-0.03,Z:0.3
Malawi,Z:-0.85,Z:-1.07,Z:-0.32,Z:-2.08,Z:-0.79,Z:-1.35,Z:-1.33,Z:-1.38,Z:-0.19,Z:-0.19,Z:-0.78,Z:-0.87,Z:-0.8,Z:-0.67
Malaysia,Z:0.06,Z:-0.01,Z:0.08,Z:-0.1,Z:0.0,Z:0.28,Z:0.59,Z:-0.03,Z:-0.5,Z:-0.5,Z:0.47,Z:0.27,Z:1.02,Z:0.13
Mali,Z:-0.95,Z:-0.91,Z:-0.82,Z:-0.93,Z:-0.97,Z:-1.23,Z:-1.41,Z:-1.05,Z:-0.47,Z:-0.47,Z:-1.17,Z:-1.34,Z:-1.16,Z:-1.01
Mauritius,Z:-0.06,Z:-0.14,Z:-1.03,Z:-0.23,Z:0.85,Z:-0.09,Z:0.12,Z:-0.3,Z:0.34,Z:0.34,Z:-0.36,Z:-0.5,Z:-0.16,Z:-0.42
Mexico,Z:0.24,Z:-0.03,Z:-0.15,Z:-0.03,Z:0.09,Z:0.44,Z:0.39,Z:0.49,Z:0.35,Z:0.35,Z:0.2,Z:0.25,Z:0.53,Z:-0.18
Morocco,Z:-0.36,Z:-0.63,Z:-1.09,Z:-0.41,Z:-0.4,Z:-0.43,Z:-0.74,Z:-0.11,Z:-0.32,Z:-0.32,Z:-0.04,Z:0.0,Z:0.1,Z:-0.24
Namibia,Z:-0.45,Z:-0.21,Z:0.3,Z:-0.67,Z:-0.25,Z:-0.86,Z:-0.64,Z:-1.08,Z:0.16,Z:0.16,Z:-0.89,Z:-1.2,Z:-0.53,Z:-0.95
Nepal,Z:-0.79,Z:-0.92,Z:-0.77,Z:-0.88,Z:-1.1,Z:-0.95,Z:-1.1,Z:-0.79,Z:-0.49,Z:-0.49,Z:-0.81,Z:-0.99,Z:-0.66,Z:-0.78
Netherlands,Z:0.79,Z:0.65,Z:0.42,Z:0.69,Z:0.86,Z:0.85,Z:0.71,Z:0.99,Z:0.88,Z:0.88,Z:0.77,Z:0.99,Z:0.27,Z:1.06
New Zealand,Z:0.92,Z:0.81,Z:0.79,Z:0.84,Z:0.79,Z:1.02,Z:1.06,Z:0.98,Z:0.77,Z:0.77,Z:1.09,Z:0.84,Z:1.14,Z:1.3
Nigeria,Z:-0.67,Z:-0.48,Z:-0.16,Z:-0.63,Z:-0.65,Z:-1.0,Z:-0.95,Z:-1.04,Z:-0.41,Z:-0.41,Z:-0.79,Z:-0.76,Z:-0.65,Z:-0.97
Norway,Z:1.03,Z:0.85,Z:0.87,Z:0.82,Z:0.85,Z:1.01,Z:1.06,Z:0.96,Z:1.19,Z:1.19,Z:1.09,Z:1.08,Z:0.95,Z:1.25
Pakistan,Z:-0.89,Z:-0.65,Z:-0.71,Z:-0.74,Z:-0.51,Z:-1.03,Z:-1.21,Z:-0.85,Z:-1.11,Z:-1.11,Z:-0.76,Z:-0.37,Z:-0.78,Z:-1.12
Peru,Z:-0.06,Z:-0.34,Z:-0.71,Z:-0.12,Z:-0.18,Z:0.03,Z:0.12,Z:-0.07,Z:0.39,Z:0.39,Z:-0.3,Z:-0.4,Z:-0.12,Z:-0.39
Philippines,Z:-0.05,Z:-0.19,Z:-0.16,Z:-0.14,Z:-0.29,Z:0.07,Z:0.45,Z:-0.31,Z:-0.08,Z:-0.08,Z:-0.01,Z:-0.26,Z:0.22,Z:-0.01
Poland,Z:0.52,Z:0.49,Z:0.83,Z:0.42,Z:0.23,Z:0.45,Z:0.12,Z:0.79,Z:0.63,Z:0.63,Z:0.51,Z:0.79,Z:0.49,Z:0.25
Portugal,Z:0.49,Z:0.65,Z:0.61,Z:0.78,Z:0.55,Z:0.46,Z:0.31,Z:0.62,Z:0.71,Z:0.71,Z:0.13,Z:0.4,Z:-0.09,Z:0.09
Qatar,Z:-0.28,Z:0.4,Z:0.34,Z:0.57,Z:0.29,Z:0.2,Z:1.1,Z:-0.71,Z:-1.12,Z:-1.12,Z:-0.58,Z:-1.2,Z:-0.55,Z:0.0
Republic Of Korea,Z:0.81,Z:0.94,Z:0.36,Z:1.23,Z:1.25,Z:1.0,Z:0.97,Z:1.03,Z:0.34,Z:0.34,Z:0.96,Z:1.19,Z:0.77,Z:0.92
Russian Federation,Z:-0.08,Z:-0.08,Z:-0.34,Z:0.12,Z:-0.01,Z:0.22,Z:0.28,Z:0.16,Z:-0.68,Z:-0.68,Z:0.23,Z:0.05,Z:0.46,Z:0.19
Rwanda,Z:-0.85,Z:-0.76,Z:-0.61,Z:-1.26,Z:-0.4,Z:-1.1,Z:-1.36,Z:-0.84,Z:-0.91,Z:-0.91,Z:-0.64,Z:-0.7,Z:-0.88,Z:-0.32
Saudi Arabia,Z:-0.75,Z:-0.21,Z:-0.83,Z:0.2,Z:0.01,Z:-0.59,Z:-0.75,Z:-0.43,Z:-1.36,Z:-1.36,Z:-0.85,Z:-1.19,Z:-1.04,Z:-0.32
Senegal,Z:-0.49,Z:-0.74,Z:-0.61,Z:-0.83,Z:-0.79,Z:-0.8,Z:-1.05,Z:-0.55,Z:-0.16,Z:-0.16,Z:-0.25,Z:-0.4,Z:-0.02,Z:-0.31
Singapore,Z:0.22,Z:0.9,Z:0.84,Z:1.0,Z:0.88,Z:0.82,Z:0.94,Z:0.7,Z:-0.92,Z:-0.92,Z:0.08,Z:0.13,Z:-0.49,Z:0.61
South Africa,Z:0.11,Z:0.07,Z:0.58,Z:-0.21,Z:-0.16,Z:-0.14,Z:-0.27,Z:-0.0,Z:0.54,Z:0.54,Z:-0.01,Z:0.39,Z:-0.07,Z:-0.36
Spain,Z:0.36,Z:0.53,Z:0.69,Z:0.52,Z:0.39,Z:0.17,Z:0.27,Z:0.06,Z:0.45,Z:0.45,Z:0.28,Z:0.19,Z:0.14,Z:0.52
Sweden,Z:1.09,Z:1.0,Z:1.09,Z:1.04,Z:0.87,Z:1.0,Z:0.99,Z:1.02,Z:0.84,Z:0.84,Z:1.51,Z:1.16,Z:1.93,Z:1.45
Switzerland,Z:0.63,Z:0.77,Z:0.69,Z:0.6,Z:1.0,Z:0.51,Z:0.61,Z:0.41,Z:0.7,Z:0.7,Z:0.55,Z:0.95,Z:0.1,Z:0.61
Thailand,Z:-0.2,Z:-0.05,Z:-0.23,Z:0.0,Z:0.09,Z:-0.24,Z:-0.19,Z:-0.3,Z:-0.5,Z:-0.5,Z:-0.01,Z:0.22,Z:-0.05,Z:-0.22
Tunisia,Z:-0.16,Z:-0.21,Z:-0.19,Z:-0.15,Z:-0.3,Z:-0.3,Z:-0.15,Z:-0.45,Z:-0.09,Z:-0.09,Z:-0.02,Z:0.45,Z:-0.26,Z:-0.25
Turkey,Z:-0.44,Z:-0.31,Z:-0.45,Z:-0.36,Z:-0.11,Z:-0.6,Z:-0.66,Z:-0.53,Z:-0.38,Z:-0.38,Z:-0.46,Z:-0.44,Z:-0.38,Z:-0.56
Uganda,Z:-0.66,Z:-0.81,Z:-0.32,Z:-1.22,Z:-0.88,Z:-1.19,Z:-1.57,Z:-0.82,Z:-0.12,Z:-0.12,Z:-0.51,Z:-1.07,Z:-0.31,Z:-0.15
United Arab Emirates,Z:-0.17,Z:0.13,Z:-0.08,Z:0.4,Z:0.08,Z:0.65,Z:1.16,Z:0.15,Z:-1.08,Z:-1.08,Z:-0.4,Z:-0.75,Z:-0.28,Z:-0.18
Great Britain And Northern Ireland,Z:0.99,Z:0.81,Z:0.73,Z:0.98,Z:0.74,Z:1.26,Z:1.13,Z:1.39,Z:0.51,Z:0.51,Z:1.37,Z:1.34,Z:1.09,Z:1.69
United Republic Of Tanzania,Z:-0.44,Z:-0.49,Z:0.16,Z:-0.68,Z:-0.93,Z:-0.84,Z:-1.27,Z:-0.4,Z:-0.02,Z:-0.02,Z:-0.42,Z:-0.56,Z:-0.02,Z:-0.69
United States Of America,Z:0.98,Z:0.79,Z:1.06,Z:0.93,Z:0.37,Z:0.95,Z:0.53,Z:1.37,Z:0.45,Z:0.45,Z:1.74,Z:1.22,Z:1.96,Z:2.05
Uruguay,Z:0.25,Z:0.12,Z:0.52,Z:0.08,Z:-0.24,Z:0.24,Z:0.35,Z:0.13,Z:0.68,Z:0.68,Z:-0.03,Z:0.23,Z:-0.08,Z:-0.24
Venezuela,Z:-0.28,Z:-0.04,Z:0.11,Z:0.09,Z:-0.31,Z:-0.19,Z:0.04,Z:-0.42,Z:-0.52,Z:-0.52,Z:-0.39,Z:-0.14,Z:-0.16,Z:-0.86
Viet Nam,Z:-0.81,Z:-0.44,Z:-0.77,Z:-0.42,Z:-0.15,Z:-0.74,Z:-1.0,Z:-0.48,Z:-1.25,Z:-1.25,Z:-0.82,Z:-0.78,Z:-0.91,Z:-0.76
Yemen,Z:-1.12,Z:-1.06,Z:-1.36,Z:-0.9,Z:-0.93,Z:-1.17,Z:-1.11,Z:-1.23,Z:-1.16,Z:-1.16,Z:-1.07,Z:-0.69,Z:-1.06,Z:-1.45
Zambia,Z:-0.66,Z:-0.8,Z:-0.25,Z:-0.68,Z:-1.48,Z:-1.04,Z:-1.05,Z:-1.02,Z:-0.19,Z:-0.19,Z:-0.63,Z:-0.74,Z:-0.65,Z:-0.49
Zimbabwe,Z:-0.89,Z:-0.73,Z:-0.22,Z:-1.12,Z:-0.87,Z:-1.21,Z:-1.29,Z:-1.13,Z:-0.78,Z:-0.78,Z:-0.85,Z:-0.67,Z:-0.91,Z:-0.96
